,Unnamed: 0.3,date,period,demand,wind
953,953,2016-02-09,42,700.7330443636363,56.3197212268648
954,954,2016-02-09,43,668.4455214545455,75.95622472796607
955,955,2016-02-09,44,630.0950225454545,100.14944606989052
956,956,2016-02-09,45,596.6616261818183,99.70142345244749
957,957,2016-02-09,46,562.7640785454546,101.285893684868
958,958,2016-02-09,47,529.5917672727275,80.88447351983957
959,959,2016-02-09,48,513.2159301818182,69.7931818928959
960,960,2016-02-10,1,509.343168,69.36701403727935
961,961,2016-02-10,2,511.8089716363636,53.75178671225222
962,962,2016-02-10,3,513.172416,36.00572010914232
963,963,2016-02-10,4,509.5752436363636,29.73340346493968
964,964,2016-02-10,5,507.965218909091,39.67732009599264
965,965,2016-02-10,6,506.3987083636364,53.63158552220652
966,966,2016-02-10,7,506.0796043636364,52.68090338275421
967,967,2016-02-10,8,502.8305454545455,74.65586639928992
968,968,2016-02-10,9,498.0584901818182,72.295552122029
969,969,2016-02-10,10,498.8272407272728,55.29254742101977
970,970,2016-02-10,11,501.2495301818182,63.46622834412704
971,971,2016-02-10,12,517.958976,90.7956080081528
972,972,2016-02-10,13,556.2079418181818,97.20998060422762
973,973,2016-02-10,14,604.7842734545454,65.48779381307736
974,974,2016-02-10,15,664.7758254545454,52.25473552713765
975,975,2016-02-10,16,688.7666443636364,39.89586771425755
976,976,2016-02-10,17,699.9207796363637,40.72634866366417
977,977,2016-02-10,18,696.9037963636362,47.39205102074362
978,978,2016-02-10,19,702.6621730909092,51.35869029225156
979,979,2016-02-10,20,694.8006109090909,47.24999506887144
980,980,2016-02-10,21,684.0671127272728,26.564463000098623
981,981,2016-02-10,22,681.5432901818182,15.221841612150303
982,982,2016-02-10,23,682.8487156363636,19.56001183470857
983,983,2016-02-10,24,681.1516625454545,27.001558236628423
984,984,2016-02-10,25,681.1661672727273,20.237509451329764
985,985,2016-02-10,26,677.4094429090909,34.42124987672179
986,986,2016-02-10,27,669.7944610909092,65.64077714586278
987,987,2016-02-10,28,665.4575476363636,86.39187350011507
988,988,2016-02-10,29,665.5300712727274,67.20339261645682
989,989,2016-02-10,30,663.8475229090909,77.5406949603866
990,990,2016-02-10,31,668.314978909091,66.78815214175353
991,991,2016-02-10,32,688.2734836363636,83.6381735099773
992,992,2016-02-10,33,710.9298676363636,49.64309148887209
993,993,2016-02-10,34,737.342976,46.8784641178211
994,994,2016-02-10,35,762.1025454545454,41.74259508859596
995,995,2016-02-10,36,785.1940712727275,43.88436174759197
996,996,2016-02-10,37,786.3544494545455,48.51757125480786
997,997,2016-02-10,38,783.6855796363636,33.91859035471252
998,998,2016-02-10,39,778.2608116363637,30.19235346329597
999,999,2016-02-10,40,765.4531374545454,32.12649988494033
1000,1000,2016-02-10,41,741.8974603636364,30.5638844143463
1001,1001,2016-02-10,42,715.3102952727272,34.8364903514251
1002,1002,2016-02-10,43,685.7206516363636,34.81463558959861
1003,1003,2016-02-10,44,651.504,63.4334462013873
1004,1004,2016-02-10,45,614.4299170909092,67.76068904303233
1005,1005,2016-02-10,46,583.9699898181818,56.12302837042638
1006,1006,2016-02-10,47,554.7574690909092,38.06006772083239
1007,1007,2016-02-10,48,538.5556887272728,36.30075939379993
1008,1008,2016-02-12,1,538.3961367272728,38.95611295571847
1009,1009,2016-02-12,2,545.2858821818182,36.72692724941649
1010,1010,2016-02-12,3,546.7363549090909,44.29960222229528
1011,1011,2016-02-12,4,543.965952,55.18327361188731
1012,1012,2016-02-12,5,539.716066909091,51.6100200532562
1013,1013,2016-02-12,6,539.1938967272728,48.75797363489925
1014,1014,2016-02-12,7,533.8561570909092,48.92188434859792
1015,1015,2016-02-12,8,524.979264,62.96356882211777
1016,1016,2016-02-12,9,518.756736,69.53092475097802
1017,1017,2016-02-12,10,519.9026094545454,78.5350866234919
1018,1018,2016-02-12,11,526.096128,88.90517111016142
1019,1019,2016-02-12,12,538.7297454545455,88.42436634997865
1020,1020,2016-02-12,13,568.7690356363637,97.2427627469674
1021,1021,2016-02-12,14,617.4469003636364,81.11394851901773
1022,1022,2016-02-12,15,669.4898618181819,84.2173246983793
1023,1023,2016-02-12,16,689.5644043636364,92.9045925244091
1024,1024,2016-02-12,17,703.3874094545455,93.97547585390711
1025,1025,2016-02-12,18,707.7823418181817,93.50559847463758
1026,1026,2016-02-12,19,715.7599418181818,82.21761399125546
1027,1027,2016-02-12,20,714.1064029090909,66.63516880896809
1028,1028,2016-02-12,21,712.0612363636365,52.79017719188666
1029,1029,2016-02-12,22,711.5100567272729,65.05069857654756
1030,1030,2016-02-12,23,710.6252683636365,62.36256287188929
1031,1031,2016-02-12,24,710.9008581818182,55.2051283737138
1032,1032,2016-02-12,25,710.8718487272725,58.45056050494758
1033,1033,2016-02-12,26,705.911232,60.38470692659194
1034,1034,2016-02-12,27,702.0674792727272,50.1785331536211
1035,1035,2016-02-12,28,699.0359912727273,54.48392123343963
1036,1036,2016-02-12,29,699.427618909091,50.41893553371249
1037,1037,2016-02-12,30,696.4106356363636,44.34331174594827
1038,1038,2016-02-12,31,693.4371665454546,41.93928794503436
1039,1039,2016-02-12,32,702.0384698181819,39.53526414412045
1040,1040,2016-02-12,33,715.0492101818182,38.73756533745357
1041,1041,2016-02-12,34,734.050402909091,45.35955817088005
1042,1042,2016-02-12,35,761.913984,57.01907360531248
1043,1043,2016-02-12,36,784.2947781818182,65.57521286038333
1044,1044,2016-02-12,37,782.4526778181819,68.30705808869457
1045,1045,2016-02-12,38,771.9367505454545,67.59677832933365
1046,1046,2016-02-12,39,756.3151592727272,68.94084618166279
1047,1047,2016-02-12,40,734.2824785454545,66.84278904631975
1048,1048,2016-02-12,41,709.2328145454546,51.06365100759395
1049,1049,2016-02-12,42,681.6303185454545,56.21044741773236
1050,1050,2016-02-12,43,656.1745221818182,61.18240573325882
1051,1051,2016-02-12,44,623.3213149090909,56.00282718038069
1052,1052,2016-02-12,45,594.0217658181818,60.9092212104277
1053,1053,2016-02-12,46,569.7698618181819,66.13250928695882
1054,1054,2016-02-12,47,543.1972014545455,69.86967355928861
1055,1055,2016-02-12,48,527.1984872727274,88.9270258719879
